Día,C,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging,sma_12,ema_12,sma_26,ema_26,MACD
2020-07-06,50277.31,0.003540724216725355,1.2299865129704723,49873.116500000004,50725.441488858814,49020.79151114119,50075.14,49360.93,48245.8275,47492.175,49637.75,50052.49916666667,50084.9192948718,49576.51576923077,49629.34100591716,455.578288954639
2020-07-07,50731.32,0.009030117164184004,1.241093435292962,49987.455,50627.67272684311,49347.23727315689,50302.145000000004,49587.935,48261.515,47506.11,49637.75,50104.3075,50156.93314102564,49654.124615384615,49754.17795857988,402.75518244576233
2020-07-08,50674.4,-0.0011219893351878119,1.2397009416945917,50068.202999999994,50620.28648829208,49516.11951170791,50302.145000000004,49587.935,48309.5125,47506.11,49783.46,50159.944166666675,50192.014038461544,49735.97384615385,49811.0900591716,380.92397928994615
2020-07-09,50658.63,-0.0003112025006710706,1.239315143661452,50119.007,50691.90337142541,49546.110628574585,50350.9,49587.935,48460.6275,47569.74,49932.89,50214.26666666667,50236.66506410257,49817.21653846154,49877.920946745566,358.74411735700414
2020-07-10,50237.57,-0.008311713127654663,1.2290143117125798,50148.757999999994,50679.39340252654,49618.12259747345,50402.065,49587.935,48484.5275,47626.869999999995,50287.86,50233.50083333333,50217.8517948718,49882.26461538462,49881.88630177514,335.96549309665716
2020-07-11,50237.57,0.0,1.2290143117125798,50178.509000000005,50655.77110238766,49701.24689761235,50415.619999999995,49587.935,48484.5275,47626.869999999995,50667.23,50252.73499999999,50234.126858974356,49945.80999999999,49936.92698224853,297.19987672582647
2020-07-12,50237.57,0.0,1.2290143117125798,50182.425,50660.2820773732,49704.567922626804,50415.619999999995,49587.935,48484.5275,47626.869999999995,50678.62,50283.11833333334,50250.40192307692,50009.207307692304,49990.69615384615,259.7057692307717
2020-07-13,50397.06,0.003174715656031779,1.232916082689461,50202.534999999996,50680.983929161346,49724.086070838646,50415.619999999995,49895.380000000005,48486.255000000005,47626.869999999995,50678.62,50318.66666666666,50300.64782051282,50084.303846153845,50068.87695266272,231.77086785010033
2020-07-14,50303.93,-0.001847925255957339,1.2306377459217832,50205.401999999995,50685.575323040575,49725.228676959414,50484.445,50186.935,48659.229999999996,48008.33500000001,50678.62,50337.926666666666,50316.39948717948,50132.16884615384,50118.0924852071,198.30700197238184
2020-07-15,50327.47,0.000467955485784044,1.2312136296060001,50216.2945,50697.173338479995,49735.41566152001,50484.445,50186.935,49001.200000000004,48302.91,50730.97,50356.88916666666,50336.31794871795,50158.51192307692,50162.215177514794,174.10277120315732
2020-07-16,50327.47,0.0,1.2312136296060001,50232.33,50705.43320126847,49759.226798731535,50455.985,50186.935,49041.8225,48302.91,51110.77,50375.85166666666,50352.363141025635,50184.854999999996,50184.50547337278,167.8576676528537
2020-07-17,50129.58,-0.003932047448441223,1.2263724391952218,50238.471,50702.7133922389,49774.2286077611,50394.104999999996,50302.145000000004,49041.8225,48302.91,51181.94,50378.323333333334,50337.96371794871,50203.586923076924,50176.35115384615,161.61256410255737
2020-07-18,50129.58,0.0,1.2263724391952218,50244.612,50699.48600523451,49789.73799476549,50263.32,50302.145000000004,49300.1725,48561.259999999995,51223.27,50366.012500000004,50340.05512820513,50202.44576923077,50192.20124260355,147.85388560158026
2020-07-19,50129.58,0.0,1.2263724391952218,50250.753,50695.71898151951,49805.787018480485,50263.32,50302.145000000004,49300.1725,48561.259999999995,51368.64,50315.8675,50329.638269230774,50207.62730769231,50191.235650887575,138.40261834319972
2020-07-20,49887.77,-0.00482369890192591,1.2204567878069237,50251.493,50693.9586359912,49809.027364008805,50142.41499999999,50302.145000000004,49343.8425,48604.92999999999,51368.64,50250.314999999995,50250.006346153845,50193.82653846154,50158.41849112426,91.58785502958199
